url,timestamp
login,1732191899
page/hellow,1732191899
page/hellow,1732191900
page/my_dashboard,1732191902
get/my_dashboard,1732191902
page/tasks,1732191903
get/tasks,1732191904
page/all_dashboard,1732191904
get/all_dashboard,1732191905
page/user,1732191906
get/tasks,1732191906
get/profile,1732191906
page/tasks,1732192108
get/tasks,1732192108
page/my_dashboard,1732192109
get/my_dashboard,1732192109
page/hellow,1732192838
page/hellow,1732193181
page/hellow,1732193184
page/my_dashboard,1732194399
get/my_dashboard,1732194400
page/my_dashboard,1732194402
get/my_dashboard,1732194402
page/tasks,1732194402
get/tasks,1732194402
downloads/task_1,1732194404
login,1732199913
page/hellow,1732199913
page/hellow,1732199913
page/my_dashboard,1732199915
get/my_dashboard,1732199915
page/all_dashboard,1732199915
get/all_dashboard,1732199916
login,1732200233
page/hellow,1732200233
page/hellow,1732200233
page/tasks,1732200235
get/tasks,1732200235
page/hellow,1732200236
login,1732200488
page/hellow,1732200488
page/hellow,1732200488
registration,1732201647
page/hellow,1732201648
page/hellow,1732201648
registration,1732201654
page/hellow,1732201654
page/hellow,1732201654
registration,1732201655
page/hellow,1732201655
page/hellow,1732201655
login,1732201657
page/hellow,1732201657
page/hellow,1732201657
page/all_dashboard,1732201658
get/all_dashboard,1732201658
page/user,1732201663
get/tasks,1732201663
get/profile,1732201663
page/user,1732201664
get/tasks,1732201664
get/profile,1732201664
page/user,1732201670
get/tasks,1732201670
get/profile,1732201670
page/user,1732201674
get/tasks,1732201675
get/profile,1732201675
page/all_dashboard,1732201696
get/all_dashboard,1732201697
set/profile,1732201715
set/profile,1732201727
registration,1732201741
page/hellow,1732201741
page/hellow,1732201741
set/profile,1732201756
registration,1732201757
page/user,1732201759
get/tasks,1732201759
get/profile,1732201759
page/user,1732201768
get/tasks,1732201768
get/profile,1732201768
registration,1732201770
page/hellow,1732201770
page/hellow,1732201770
page/user,1732201780
get/tasks,1732201780
get/profile,1732201780
set/profile,1732201784
set/profile,1732201795
registration,1732201796
page/hellow,1732201796
page/hellow,1732201797
set/profile,1732201802
set/profile,1732201803
page/user,1732201805
get/tasks,1732201805
get/profile,1732201805
set/profile,1732201809
set/profile,1732201811
login,1732201818
page/hellow,1732201818
page/hellow,1732201819
set/profile,1732201819
page/hellow,1732201820
page/all_dashboard,1732201821
get/all_dashboard,1732201821
get/profile,1732201841
set/profile,1732201885
set/profile,1732201951
registration,1732201980
page/hellow,1732201980
page/user,1732201982
get/tasks,1732201982
page/hellow,1732202072
get/tasks,1732202074
get/tasks,1732202076
get/profile,1732202082
set/profile,1732202114
set/profile,1732202114
page/tasks,1732214932
get/tasks,1732214933
page/my_dashboard,1732214985
get/my_dashboard,1732214985
page/tasks,1732214986
get/tasks,1732214986
page/my_dashboard,1732214989
get/my_dashboard,1732214990
page/my_dashboard,1732215007
get/my_dashboard,1732215007
page/tasks,1732215012
get/tasks,1732215013
page/my_dashboard,1732215025
get/my_dashboard,1732215026
registration,1732215135
page/hellow,1732215135
page/hellow,1732215135
page/user,1732215144
get/tasks,1732215144
get/profile,1732215144
set/profile,1732215171
login,1732215179
page/hellow,1732215179
page/hellow,1732215179
page/my_dashboard,1732215182
get/my_dashboard,1732215182
page/tasks,1732215185
get/tasks,1732215186
page/my_dashboard,1732215190
get/my_dashboard,1732215190
page/all_dashboard,1732215192
get/all_dashboard,1732215192
page/my_dashboard,1732215194
get/my_dashboard,1732215197
page/all_dashboard,1732215201
get/all_dashboard,1732215201
page/tasks,1732215235
get/tasks,1732215235
upload/task_10,1732215674
page/my_dashboard,1732215685
get/my_dashboard,1732215690
get/my_dashboard,1732215722
page/all_dashboard,1732215724
get/all_dashboard,1732215724
page/tasks,1732216422
get/tasks,1732216422
get/my_dashboard,1732216440
page/my_dashboard,1732216441
get/my_dashboard,1732216441
page/tasks,1732216443
get/tasks,1732216443
page/tasks,1732216445
get/tasks,1732216445
page/tasks,1732216446
get/tasks,1732216446
page/my_dashboard,1732216452
get/my_dashboard,1732216452
page/my_dashboard,1732216456
get/my_dashboard,1732216456
page/my_dashboard,1732216457
get/my_dashboard,1732216457
page/all_dashboard,1732216495
get/all_dashboard,1732216496
page/my_dashboard,1732216720
get/my_dashboard,1732216721
page/tasks,1732216722
get/tasks,1732216722
page/my_dashboard,1732216723
get/my_dashboard,1732216723
page/tasks,1732216724
get/tasks,1732216725
page/my_dashboard,1732216725
get/my_dashboard,1732216726
page/tasks,1732216727
get/tasks,1732216727
page/my_dashboard,1732216728
get/my_dashboard,1732216728
page/tasks,1732216729
get/tasks,1732216729
page/all_dashboard,1732216808
get/all_dashboard,1732216808
page/my_dashboard,1732216999
get/my_dashboard,1732217000
page/tasks,1732217003
get/tasks,1732217003
page/all_dashboard,1732217004
get/all_dashboard,1732217004
page/hellow,1732217005
set/profile,1732201825
page/user,1732201839
get/tasks,1732201841
page/hellow,1732201980
get/profile,1732201982
set/profile,1732201995
set/profile,1732202005
set/profile,1732202009
set/profile,1732202019
set/profile,1732202043
set/profile,1732202067
registration,1732202071
page/hellow,1732202071
get/profile,1732202074
page/tasks,1732202075
page/user,1732202082
get/tasks,1732202082
page/user,1732202131
get/tasks,1732202131
get/profile,1732202131
registration,1732202182
page/hellow,1732202182
page/hellow,1732202182
page/user,1732202186
get/profile,1732202186
get/tasks,1732202186
set/profile,1732202187
set/profile,1732202191
page/user,1732202195
registration,1732202195
get/tasks,1732202196
get/profile,1732202196
page/hellow,1732202196
page/hellow,1732202196
page/user,1732202197
registration,1732202197
page/hellow,1732202197
page/hellow,1732202197
get/tasks,1732202197
get/profile,1732202197
set/profile,1732202206
page/tasks,1732202211
page/hellow,1732202211
get/tasks,1732202211
set/profile,1732202212
set/profile,1732202212
page/user,1732202214
get/tasks,1732202214
get/profile,1732202214
registration,1732202220
page/hellow,1732202220
page/hellow,1732202220
set/profile,1732202226
set/profile,1732202227
set/profile,1732202236
set/profile,1732202237
set/profile,1732202239
page/all_dashboard,1732202239
get/all_dashboard,1732202239
page/tasks,1732202241
get/tasks,1732202241
set/profile,1732202241
page/user,1732202244
get/profile,1732202244
get/tasks,1732202244
page/user,1732202245
get/tasks,1732202246
get/profile,1732202246
page/hellow,1732202246
page/user,1732202246
get/tasks,1732202247
get/profile,1732202247
page/tasks,1732202248
get/tasks,1732202248
page/hellow,1732202249
page/user,1732202250
get/tasks,1732202250
get/profile,1732202250
page/my_dashboard,1732202251
page/hellow,1732202251
get/my_dashboard,1732202251
downloads/task_1,1732202253
page/all_dashboard,1732202253
get/all_dashboard,1732202253
set/profile,1732202254
page/user,1732202263
get/tasks,1732202263
get/profile,1732202263
set/profile,1732202263
page/tasks,1732202264
get/tasks,1732202264
page/tasks,1732202265
get/tasks,1732202266
page/hellow,1732202267
page/tasks,1732202268
get/tasks,1732202268
page/all_dashboard,1732202269
page/my_dashboard,1732202270
get/my_dashboard,1732202270
get/all_dashboard,1732202272
set/profile,1732202272
page/all_dashboard,1732202272
get/all_dashboard,1732202272
downloads/task_1,1732202273
set/profile,1732202274
page/user,1732202275
get/tasks,1732202275
page/hellow,1732202276
page/user,1732202280
get/tasks,1732202280
get/profile,1732202280
page/tasks,1732202280
page/hellow,1732202281
get/tasks,1732202283
get/tasks,1732202283
get/my_dashboard,1732202290
get/all_dashboard,1732202291
get/tasks,1732202292
page/all_dashboard,1732202297
page/tasks,1732217006
get/tasks,1732217006
page/all_dashboard,1732217007
get/all_dashboard,1732217007
page/all_dashboard,1732217051
get/all_dashboard,1732217052
page/my_dashboard,1732217053
get/my_dashboard,1732217053
page/tasks,1732217054
get/tasks,1732217054
page/all_dashboard,1732217054
get/all_dashboard,1732217055
page/user,1732217063
get/tasks,1732217063
get/profile,1732217063
page/tasks,1732217064
page/hellow,1732217066
get/my_dashboard,1732217067
get/all_dashboard,1732217068
get/all_dashboard,1732217308
get/all_dashboard,1732217349
get/all_dashboard,1732217573
page/all_dashboard,1732217806
page/all_dashboard,1732217811
page/my_dashboard,1732217816
set/profile,1732217848
get/my_dashboard,1732217854
get/tasks,1732217862
page/my_dashboard,1732218829
page/tasks,1732218831
page/my_dashboard,1732218834
page/tasks,1732218836
page/all_dashboard,1732218856
page/all_dashboard,1732220624
page/all_dashboard,1732222174
login,1732228845
page/hellow,1732228845
page/tasks,1732228846
page/my_dashboard,1732228847
page/all_dashboard,1732228848
page/my_dashboard,1732228858
page/tasks,1732228858
page/my_dashboard,1732228859
page/all_dashboard,1732228860
registration,1732234693
page/hellow,1732234693
page/user,1732234713
get/tasks,1732234714
set/profile,1732234813
set/profile,1732234818
login,1732234831
page/hellow,1732234831
page/hellow,1732234834
get/tasks,1732234837
get/my_dashboard,1732234840
get/all_dashboard,1732234843
get/tasks,1732234848
get/all_dashboard,1732234850
get/tasks,1732234870
upload/task_1,1732236854
upload/task_2,1732237643
page/my_dashboard,1732241164
get/my_dashboard,1732241164
downloads/task_7,1732241184
upload/task_7,1732242046
page/my_dashboard,1732242048
get/my_dashboard,1732242048
upload/task_6,1732242139
/add_point/task_1,1732256790
/add_point/task_2,1732256792
/add_point/task_3,1732256793
/add_point/task_4,1732256794
/add_point/task_5,1732256795
/add_point/task_6,1732256797
/add_point/task_7,1732256798
/add_point/task_8,1732256799
/add_point/task_9,1732256799
/add_point/task_10,1732256800
/del_file/Yurok_task_9.py,1732256810
/del_file/Yurok_task_10.py,1732256811
/del_file/Yurok_task_8.py,1732256812
/del_file/Yurok_task_3.py,1732256813
/del_file/Yurok_task_1.py,1732256814
/del_file/Yurok_task_2.py,1732256815
/del_file/Yurok_task_6.py,1732256816
/del_file/Yurok_task_4.py,1732256817
/del_file/Yurok_task_5.py,1732256818
/del_file/Yurok_task_7.py,1732256820
login,1732258210
page/hellow,1732258210
page/all_dashboard,1732258215
page/my_dashboard,1732258237
/add_point/task_3,1732350467
get/profile,1732202275
login,1732202276
page/hellow,1732202276
registration,1732202279
page/hellow,1732202280
page/hellow,1732202280
get/tasks,1732202281
page/tasks,1732202283
page/tasks,1732202283
page/my_dashboard,1732202290
page/all_dashboard,1732202291
page/tasks,1732202291
page/hellow,1732202294
get/all_dashboard,1732202297
page/my_dashboard,1732202302
get/my_dashboard,1732202302
page/tasks,1732202305
get/tasks,1732202305
page/my_dashboard,1732202313
get/my_dashboard,1732202313
page/tasks,1732202327
get/tasks,1732202328
page/my_dashboard,1732202329
get/my_dashboard,1732202330
page/all_dashboard,1732202331
get/all_dashboard,1732202331
page/tasks,1732202334
get/tasks,1732202334
page/my_dashboard,1732202343
get/my_dashboard,1732202343
page/tasks,1732202345
get/tasks,1732202346
page/all_dashboard,1732202347
get/all_dashboard,1732202347
page/user,1732202354
get/profile,1732202354
get/tasks,1732202354
page/tasks,1732202359
get/tasks,1732202361
page/my_dashboard,1732202363
get/my_dashboard,1732202363
page/tasks,1732202368
get/tasks,1732202368
downloads/task_1,1732202369
page/tasks,1732202370
get/tasks,1732202370
page/all_dashboard,1732202381
get/all_dashboard,1732202381
downloads/task_1,1732202385
set/profile,1732202394
page/tasks,1732202397
get/tasks,1732202398
page/my_dashboard,1732202399
get/my_dashboard,1732202399
page/all_dashboard,1732202404
get/all_dashboard,1732202404
page/tasks,1732202414
get/tasks,1732202415
page/my_dashboard,1732202428
get/my_dashboard,1732202428
downloads/task_1,1732202441
page/all_dashboard,1732202442
get/all_dashboard,1732202442
page/tasks,1732202448
get/tasks,1732202448
upload/task_1,1732202542
page/my_dashboard,1732202549
get/my_dashboard,1732202549
page/tasks,1732202551
get/tasks,1732202551
